loss,acc,val_loss,val_acc
0.326538,0.45132000001907346,1.179443,0.5445
0.326538,0.619019999961853,1.000000,0.646
0.326538,0.692979999961853,1.000000,0.6671
0.326538,0.7497200000190735,0.961548,0.6774
0.326538,0.8021599999809265,0.948730,0.6951
0.326538,0.848439999961853,1.012939,0.7012
0.163269,0.8954799999809265,1.089844,0.7062
0.140320,0.9334600000190735,1.179443,0.6993
0.084198,0.9605799999618531,1.371826,0.6977
0.078125,0.9758799999809266,1.512939,0.7022
0.041443,0.987320000038147,1.641113,0.705
0.029663,0.991420000038147,1.692383,0.703
0.036346,0.9888,1.846191,0.695
0.024399,0.9916600000190735,1.692383,0.7098
0.017578,0.99456,1.897461,0.7107
0.019058,0.9943,2.000000,0.7097
0.009811,0.9974,2.153809,0.7103
0.003410,0.99946,2.307617,0.7181
0.000671,1.0,2.307617,0.7198
0.000387,1.0,2.307617,0.7209
0.000340,1.0,2.307617,0.7211
0.000309,1.0,2.307617,0.7217
0.000284,1.0,2.307617,0.7218
0.000265,1.0,2.307617,0.7222
0.000250,1.0,2.307617,0.7223
0.000237,1.0,2.307617,0.7225
0.000225,1.0,2.307617,0.7232
0.000214,1.0,2.307617,0.7235
0.000206,1.0,2.307617,0.7239
0.000196,1.0,2.307617,0.7251
