loss,acc,val_loss,val_acc
0.271179,0.7785833333015442,0.435913,0.8527
0.150452,0.8694333333651225,0.350952,0.8709
0.137695,0.8863833333333333,0.320496,0.883
0.139832,0.8969833333333334,0.309265,0.8868
0.135620,0.9045333333333333,0.317322,0.879
0.135620,0.9104333333333333,0.291687,0.897
0.135620,0.9158999999682108,0.286865,0.8993
0.135620,0.9207333333333333,0.293274,0.8988
0.127136,0.9251333333015442,0.286865,0.8977
0.117584,0.9278666666666666,0.293274,0.8998
0.090057,0.9322666666348776,0.286865,0.9012
0.091095,0.9350666666348775,0.275635,0.9058
0.080505,0.9377833333015442,0.275635,0.9032
0.073090,0.9414166666984558,0.286865,0.904
0.070984,0.9441,0.290039,0.906
0.073090,0.9483333333651225,0.293274,0.9061
0.068848,0.94985,0.307678,0.9006
0.067810,0.9530166666666666,0.314087,0.906
0.067810,0.9561166666984559,0.342957,0.8983
0.068848,0.959,0.331726,0.9039
0.068848,0.9602500000317892,0.349365,0.9032
0.068848,0.9631833333015442,0.354187,0.8995
0.067810,0.9636666666984558,0.350952,0.9036
0.067810,0.9668333333015442,0.363770,0.9075
0.067810,0.9700999999682108,0.381409,0.9049
0.067810,0.9722,0.384644,0.9038
0.067810,0.9728333333015442,0.399048,0.9039
0.067810,0.9755333333015442,0.435913,0.8989
0.064606,0.9763333333333334,0.448730,0.8994
0.053223,0.9777666666666667,0.435913,0.9017
