loss,acc,val_loss,val_acc
0.177979,0.9097333333015442,0.073517,0.9761
0.065155,0.9799666666666667,0.044067,0.9854
0.039978,0.9862666666348775,0.036957,0.9888
0.031647,0.9891500000317891,0.032440,0.9902
0.026215,0.991,0.034058,0.9891
0.020126,0.99325,0.033661,0.9879
0.016617,0.9947166666348776,0.048279,0.9875
0.013474,0.99505,0.033844,0.9891
0.010696,0.9962833333333333,0.033966,0.9899
0.008163,0.9972166666666666,0.034149,0.9905
0.005775,0.998,0.033539,0.9901
0.003799,0.9990166666666667,0.036957,0.9893
0.003967,0.9988166666666667,0.040253,0.9896
0.002892,0.9992333333333333,0.042175,0.9902
0.003029,0.99905,0.041077,0.9893
0.001629,0.9996,0.040070,0.9906
0.001240,0.9996666666666667,0.035065,0.9913
0.000801,0.9997833333333334,0.037567,0.9914
0.000999,0.9997666666666667,0.039673,0.9904
0.000492,0.9999333333333333,0.036346,0.9915
0.000282,0.9999833333333333,0.036957,0.9917
0.000238,1.0,0.036774,0.9917
0.000212,1.0,0.036774,0.9916
0.000200,1.0,0.036469,0.9919
0.000191,1.0,0.036774,0.9918
0.000181,1.0,0.037048,0.9918
0.000172,1.0,0.037170,0.9919
0.000170,1.0,0.037048,0.9916
0.000166,1.0,0.037170,0.9919
0.000160,1.0,0.037567,0.9918
